ts_utc,ts_ms,date_cn,symbol,venue,base,bid,ask,mid,spread_bp,bid_sz,ask_sz,last,usdt_vol_24h,source,in_ours_top
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,AAPLUSDT,perp,AAPL,333.67,333.68,333.675,0.2997,14.09,7.12,333.64,1775368.5888,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,GOOGLUSDT,perp,GOOGL,339.82,339.84,339.83,0.5885,7.39,2.11,339.92,1808353.729,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,HOODUSDT,perp,HOOD,112.44,112.45,112.445,0.8893,43.12,25.86,112.46,463391.4659,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,METAUSDT,perp,META,649.72,649.73,649.725,0.1539,0.07,0.01,649.73,573888.8254,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,MRVLUSDT,perp,MRVL,237.19,237.2,237.195,0.4216,0.2,160.82,237.2,1922627.0976,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,NVDAUSDT,perp,NVDA,219.43,219.44,219.435,0.4557,22.7,458.34,219.4,3334816.9849,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,QQQUSDT,perp,QQQ,716.0,716.01,716.005,0.1397,2.65,0.82,716.06,2019708.6114,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,RAAPLUSDT,spot,AAPL,331.53,332.86,332.195,40.0367,0.6358,0.4998,331.53,10995.887322,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,RGOOGLUSDT,spot,GOOGL,339.13,339.26,339.195,3.8326,0.0884,0.6177,339.13,5444703477.450317,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,RHOODUSDT,spot,HOOD,112.14,112.37,112.255,20.4891,2.0344,1.432,112.14,1058154432.8052182,b-side,1
2026-09-12T15:14:12.522Z,1789226052522,2026-09-12,RMETAUSDT,spot,META,647.4,648.27,647.835,13.4293,10.56,11.16,648.25,7277799922.571505,b-side,1
