ts_utc,ts_cn,route,session,event,hours_to_open,hours_to_close,core_rows,core_rounds,core_last_utc,universe_rows,universe_rounds,universe_last_utc,orderbook_rows,orderbook_rounds,orderbook_last_utc,note
2026-09-12T19:19:04Z,2026-09-13 03:19:04,in_house,closed,,0.0,28.68,11620,581,2026-09-12T19:18:06Z,37173,761,2026-09-12T19:18:47Z,43690,230,2026-09-12T19:18:56Z,
2026-09-12T19:49:05Z,2026-09-13 03:49:05,in_house,closed,,0.0,28.18,12220,611,2026-09-12T19:48:06Z,40053,821,2026-09-12T19:48:47Z,55090,290,2026-09-12T19:48:57Z,
2026-09-12T20:19:05Z,2026-09-13 04:19:05,in_house,closed,,0.0,27.68,12820,641,2026-09-12T20:18:06Z,42933,881,2026-09-12T20:18:47Z,66490,350,2026-09-12T20:18:57Z,
2026-09-12T20:49:05Z,2026-09-13 04:49:05,in_house,closed,,0.0,27.18,13420,671,2026-09-12T20:48:06Z,45813,941,2026-09-12T20:48:48Z,77890,410,2026-09-12T20:48:58Z,
2026-09-12T21:19:05Z,2026-09-13 05:19:05,in_house,closed,,0.0,26.68,14020,701,2026-09-12T21:18:07Z,48693,1001,2026-09-12T21:18:48Z,89290,470,2026-09-12T21:18:58Z,
2026-09-12T21:49:06Z,2026-09-13 05:49:06,in_house,closed,,0.0,26.18,14620,731,2026-09-12T21:48:07Z,51573,1061,2026-09-12T21:48:49Z,100690,530,2026-09-12T21:48:59Z,
2026-09-12T22:19:06Z,2026-09-13 06:19:06,in_house,closed,,0.0,25.68,15220,761,2026-09-12T22:18:07Z,54453,1121,2026-09-12T22:18:49Z,112090,590,2026-09-12T22:18:59Z,
2026-09-12T22:49:07Z,2026-09-13 06:49:07,in_house,closed,,0.0,25.18,15820,791,2026-09-12T22:48:07Z,57333,1181,2026-09-12T22:48:50Z,123490,650,2026-09-12T22:49:00Z,
2026-09-12T23:19:07Z,2026-09-13 07:19:07,in_house,closed,,0.0,24.68,16420,821,2026-09-12T23:18:07Z,60165,1240,2026-09-12T23:18:20Z,134890,710,2026-09-12T23:19:00Z,
2026-09-12T23:49:08Z,2026-09-13 07:49:08,in_house,closed,,0.0,24.18,17020,851,2026-09-12T23:48:08Z,63093,1301,2026-09-12T23:48:51Z,146290,770,2026-09-12T23:49:01Z,
2026-09-13T00:19:08Z,2026-09-13 08:19:08,in_house,closed,,0.0,23.68,17620,881,2026-09-13T00:18:08Z,65973,1361,2026-09-13T00:18:51Z,157690,830,2026-09-13T00:19:01Z,
2026-09-13T00:49:09Z,2026-09-13 08:49:09,in_house,closed,,0.0,23.18,18220,911,2026-09-13T00:48:08Z,68853,1421,2026-09-13T00:48:52Z,169090,890,2026-09-13T00:49:02Z,
2026-09-13T01:19:09Z,2026-09-13 09:19:09,in_house,closed,,0.0,22.68,18820,941,2026-09-13T01:18:08Z,71733,1481,2026-09-13T01:18:52Z,180490,950,2026-09-13T01:19:02Z,
2026-09-13T01:49:10Z,2026-09-13 09:49:10,in_house,closed,,0.0,22.18,19420,971,2026-09-13T01:48:09Z,74613,1541,2026-09-13T01:48:53Z,191890,1010,2026-09-13T01:49:03Z,
